track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timesig,popularity,duration_ms,year_released
746CCMLis8SK64lLVXMF1d,0.827,0.655,7,-12.828,1,0.0905,0.151,0.00521,0.0427,0.842,103.837,4,50,318800,1974
5YqbI386hA12mNamAKjfrv,0.626,0.301,10,-16.997,0,0.0369,0.825,0.649,0.15,0.449,127.532,4,28,527066,1992
3NWDb3bbMBTArBblzG4jMX,0.48,0.303,5,-13.675,1,0.0384,0.812,0.0,0.0889,0.643,98.282,3,45,180453,1991
0zowXbXX2KisRPIvUAw56X,0.502,0.573,5,-14.872,0,0.0769,0.0345,0.209,0.373,0.739,113.094,4,15,311826,1968
4PVDsVErSKKmQZ5Hv6dlbo,0.567,0.719,9,-10.447,0,0.0346,0.00913,0.000885,0.875,0.557,99.003,4,6,200440,1984
6Wd0bruZaAjsdId4uAXuaj,0.588,0.754,5,-9.077,0,0.24,0.632,0.0013,0.77,0.718,77.264,4,12,526582,1957
4DLLQrlwZSjlpbJgHlI42U,0.665,0.306,10,-14.29,1,0.0302,0.0453,0.324,0.0752,0.524,87.802,4,40,220773,1992
0ziWwQKX0s7gZTJALYHQSq,0.45,0.123,5,-15.181,1,0.04,0.946,0.335,0.0853,0.331,164.828,3,10,463293,1969
5j9HUr2izjXctYvgKF4GoW,0.236,0.173,6,-13.844,1,0.0319,0.928,0.000623,0.239,0.279,82.342,4,51,176973,1955
3pfbQmD5xGH9Tcc7GqGfSL,0.626,0.152,5,-14.182,0,0.0405,0.934,6.05e-05,0.12,0.545,82.174,4,58,184466,1956
66DgfLNBRrWItqTwpQWspJ,0.453,0.383,1,-12.203,0,0.074,0.604,0.783,0.175,0.563,169.275,4,0,318533,1997
00dDsLgxoPzhbPD3owDfwT,0.477,0.665,3,-8.189,0,0.0464,0.599,0.0011,0.272,0.749,179.47,3,32,370160,1999
6UkSSoeVvxyUFBzDVtLiTe,0.501,0.628,2,-12.887,0,0.0542,0.829,0.1,0.892,0.785,155.292,4,30,303333,1965
66YI1uZX5bqDb760dF5XYh,0.495,0.456,2,-12.24,1,0.04,0.61,0.000609,0.0743,0.559,136.967,4,30,728333,1989
0D0yX9zovq5VCnl8DYdZ6r,0.441,0.803,11,-11.8,0,0.0638,0.000415,0.38,0.192,0.942,175.299,4,3,245933,1973
027gUK945JpipqZR8nJ41d,0.756,0.44,0,-13.345,1,0.0622,0.384,0.0,0.0905,0.77,133.033,4,34,189680,1971
623uAb3wX35ck2WvEtKYWS,0.578,0.183,7,-13.962,1,0.0305,0.826,3.78e-05,0.36,0.416,81.176,4,43,251693,1991
3MNxcdz3SFeMfX4KunRsjZ,0.33,0.0159,4,-21.167,0,0.0409,0.988,5.38e-06,0.109,0.22,71.022,4,48,168346,1957
5R6ol4f8WCUCWNrB7Ymf99,0.768,0.612,1,-13.381,1,0.0454,0.0217,0.0239,0.0513,0.878,113.798,4,46,738053,1985
3yaW8Zb4h0zZVtQyxncNuM,0.352,0.695,6,-10.381,1,0.0563,0.59,0.000535,0.262,0.504,109.077,4,9,777053,1965
